,id,nome,siglaPartido,siglaUf,despesas
178,74454,Eunício Oliveira,MDB,CE,296276.88000000006
213,74383,Giacobo,PL,PR,256966.00000000003
223,204419,Glaustin da Fokus,PODE,GO,235662.6
432,153423,Renilce Nicodemos,MDB,PA,231928.52000000002
469,74356,Silas Câmara,REPUBLICANOS,AM,221954.61
475,220575,Sonize Barbosa,PL,AP,212751.77
180,220681,Fábio Macedo,PODE,MA,209399.86
129,178908,Delegado Éder Mauro,PL,PA,181231.1
94,141408,Cleber Verde,MDB,MA,177337.7
410,122158,Pedro Paulo,PSD,RJ,174077.16000000003
150,221339,Dr. Benjamim,UNIÃO,MA,161987.03
416,160601,Pr. Marco Feliciano,PL,SP,146955.92999999996
41,123756,Antônia Lúcia,REPUBLICANOS,AC,139009.0
493,137070,Vicentinho Júnior,PP,TO,137500.0
382,204498,Olival Marques,MDB,PA,134436.85
465,220713,Saullo Vianna,UNIÃO,AM,125550.0
14,74696,Alberto Mourão,MDB,SP,125294.2
495,160591,Vinicius Gurgel,PL,AP,124920.0
229,204408,Gustinho Ribeiro,REPUBLICANOS,SE,118169.76000000001
237,204539,Hercílio Coelho Diniz,MDB,MG,115400.0
351,74158,Mário Heringer,PDT,MG,113615.94999999998
27,178937,Altineu Côrtes,PL,RJ,113206.48000000001
158,220674,Dra. Alessandra Haber,MDB,PA,111608.0
142,220671,Dilvanda Faro,PT,PA,102947.2
255,178970,João Daniel,PT,SE,102739.32999999999
204,224117,Gabriel Mota,REPUBLICANOS,RR,97803.84999999999
11,204495,Airton Faleiro,PT,PA,91560.31
446,220641,Rodrigo Gambale,PODE,SP,87760.0
194,92699,Fernando Monteiro,PP,PE,87214.78
285,204574,Junior Lourenço,PL,MA,87003.5
375,220622,Nely Aquino,PODE,MG,86476.70999999999
394,204553,Pastor Sargento Isidório,AVANTE,BA,83012.55000000002
456,178887,Rubens Pereira Júnior,PT,MA,81498.5
419,204390,Professor Alcides,PL,GO,80284.77
195,204427,Fernando Rodolfo,PL,PE,76026.38
160,220540,Duda Ramos,MDB,RR,72942.65000000001
281,74253,Julio Lopes,PP,RJ,71810.90000000001
196,204411,Filipe Barros,PL,PR,69302.8
78,178993,Carlos Henrique Gaguim,UNIÃO,TO,67816.03
346,220604,Marcos Tavares,PDT,RJ,66454.6
279,74317,Júlio Cesar,PSD,PI,66450.87
302,220662,Lucas Ramos,PSB,PE,64962.520000000004
264,141464,José Airton Félix Cirilo,PT,CE,64771.49
197,220545,Filipe Martins,PL,TO,63762.8
177,204482,Euclydes Pettersen,REPUBLICANOS,MG,63759.16
